user_id,course_id,ranking
1.0,97317,2.0
1.0,97414,5.0
1.0,96617,1.0
1.0,96235,4.0
1.0,97215,2.0
1.0,97247,4.0
1.0,97246,4.0
2.0,97317,2.0
2.0,96226,3.0
2.0,96327,3.0
2.0,97414,4.0
2.0,96235,4.0
3.0,96327,1.0
3.0,97414,1.0
3.0,96625,1.0
3.0,96235,5.0
3.0,97200,5.0
3.0,97215,5.0
3.0,97247,5.0
3.0,97400,5.0
3.0,96292,5.0
4.0,96327,2.0
4.0,97414,3.0
4.0,96625,5.0
4.0,96262,3.0
4.0,96235,5.0
4.0,97200,4.0
4.0,97215,4.0
4.0,97400,3.0
4.0,96292,3.0
4.0,96293,5.0
5.0,96327,3.0
5.0,97414,5.0
5.0,96625,1.0
5.0,96262,4.0
5.0,96235,4.0
5.0,97200,3.0
5.0,97215,1.0
5.0,97400,2.0
5.0,96450,5.0
6.0,96327,4.0
6.0,97414,4.0
6.0,96625,2.0
6.0,97247,5.0
6.0,97400,5.0
7.0,96327,1.0
7.0,97414,1.0
7.0,96625,1.0
7.0,96235,5.0
7.0,97200,4.0
7.0,97215,1.0
7.0,97400,3.0
7.0,96293,2.0
8.0,96327,4.0
8.0,97414,3.0
8.0,96625,1.0
8.0,96262,4.0
8.0,97215,4.0
8.0,97247,5.0
8.0,97400,4.0
8.0,96293,2.0
8.0,97246,2.0
9.0,96327,4.0
9.0,97414,3.0
9.0,96625,2.0
9.0,96235,4.0
9.0,97200,5.0
9.0,97215,5.0
9.0,97400,4.0
9.0,96293,2.0
10.0,96327,3.0
10.0,97414,4.0
10.0,96625,2.0
10.0,97200,4.0
10.0,97215,4.0
10.0,97400,4.0
10.0,96450,1.0
11.0,97317,2.0
11.0,96226,3.0
11.0,96578,5.0
11.0,96327,5.0
11.0,97414,5.0
11.0,96625,3.0
11.0,96262,1.0
11.0,96617,2.0
11.0,96235,5.0
11.0,97200,5.0
11.0,97215,5.0
11.0,97247,4.0
11.0,97400,5.0
11.0,96292,5.0
11.0,96293,5.0
11.0,96425,4.0
11.0,96450,5.0
11.0,97244,5.0
11.0,97245,1.0
11.0,97246,4.0
12.0,96578,4.0
12.0,96327,3.0
12.0,97414,4.0
12.0,96625,2.0
12.0,96262,5.0
12.0,96235,5.0
12.0,97200,5.0
12.0,97215,5.0
12.0,97400,5.0
12.0,96293,3.0
13.0,97317,5.0
13.0,96578,3.0
13.0,96625,4.0
13.0,96262,4.0
13.0,96235,4.0
13.0,97200,3.0
13.0,97215,4.0
13.0,96450,5.0
14.0,97317,1.0
14.0,96226,3.0
14.0,96578,4.0
14.0,96327,2.0
14.0,97414,4.0
14.0,96625,5.0
14.0,96262,1.0
14.0,96617,5.0
14.0,96235,5.0
14.0,97200,2.0
14.0,97215,3.0
14.0,97247,1.0
14.0,97400,4.0
14.0,96292,4.0
14.0,96293,5.0
14.0,96425,2.0
14.0,96450,4.0
14.0,97244,2.0
14.0,97245,1.0
14.0,97246,2.0
15.0,97414,3.0
15.0,96235,5.0
15.0,97200,1.0
15.0,97215,3.0
15.0,97400,4.0
16.0,96235,5.0
16.0,97200,3.0
16.0,97400,5.0
17.0,96327,2.0
17.0,97414,4.0
17.0,96625,4.0
17.0,96235,5.0
17.0,97200,4.0
17.0,97215,2.0
17.0,97247,5.0
17.0,97400,5.0
